,compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments,pDTC_Value,SMILES,base_rdkit_smiles
4978,CHEMBL28992,FEROPKNOYKURCJ-CYBMUJFWSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,12589.3,NM,Active,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,4.899998417198648,COC1=CC(=C(C=C1C(=O)N[C@@H]2CN3CCC2CC3)Cl)N,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CN2CCC1CC2
5002,CHEMBL108,FFGPTBGBLSHEPO-UHFFFAOYSA-N,CARBAMAZEPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21467212.0,INHIBITION,<,10.0,%,,,,,,,,,,,,,,,Time dependent inhibition of CYP2C9 (unknown origin) at 100 uM by LC/MS system,Combination of GSH trapping and time-dependent inhibition assays as a predictive method of drugs generating highly reactive metabolites.,Drug Metab. Dispos.,PUBLICATION,,10.0,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,NC(=O)N1c2ccccc2C=Cc2ccccc21
5003,CHEMBL108,FFGPTBGBLSHEPO-UHFFFAOYSA-N,CARBAMAZEPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22931300.0,INHIBITION,,,,Active,,,,,,,,,,,,,,Inhibition of human CYP2C9 assessed as ratio of IC50 in absence of NADPH to IC50 for presence of NADPH using 7-methoxy-4-trifluoromethylcoumarin-3-acetic acid as substrate after 30 mins,Preclinical strategy to reduce clinical hepatotoxicity using in vitro bioactivation data for >200 compounds.,Chem. Res. Toxicol.,PUBLICATION,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,NC(=O)N1c2ccccc2C=Cc2ccccc21
5004,CHEMBL108,FFGPTBGBLSHEPO-UHFFFAOYSA-N,CARBAMAZEPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,NC(=O)N1c2ccccc2C=Cc2ccccc21
5005,CHEMBL108,FFGPTBGBLSHEPO-UHFFFAOYSA-N,CARBAMAZEPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,NC(=O)N1c2ccccc2C=Cc2ccccc21
5006,CHEMBL108,FFGPTBGBLSHEPO-UHFFFAOYSA-N,CARBAMAZEPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,NC(=O)N1c2ccccc2C=Cc2ccccc21
5023,CHEMBL287045,FFNWMBDISAYHDC-UHFFFAOYSA-N,SDZ-205557,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inconclusive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CCN(CC)CCOC(=O)C1=CC(=C(C=C1OC)N)Cl,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
5024,CHEMBL287045,FFNWMBDISAYHDC-UHFFFAOYSA-N,SDZ-205557,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,39810.7,NM,Not Active,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,4.40000018605658,CCN(CC)CCOC(=O)C1=CC(=C(C=C1OC)N)Cl,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
5393,CHEMBL22778,FNKBVTBXFLSTPB-LBPRGKRZSA-N,UH-301,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CCCN(CCC)[C@H]1CCC2=C(C=CC(=C2C1)O)F,CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1
5535,CHEMBL2024087,FQIJPHXWIONJLF-JKOKRWQUSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22171543.0,INHIBITION,<=,25.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 up to 10 uM,Chemistry and behavioral studies identify chiral cyclopropanes as selective a4ß2-nicotinic acetylcholine receptor partial agonists exhibiting an antidepressant profile.,J. Med. Chem.,PUBLICATION,,25.0,C1CN[C@@H]1COC2=CN=CC(=C2)[C@H]3C[C@@H]3CCO,OCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CCN2)c1
5704,CHEMBL1084631,FTPAKCBSUUBRFU-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,-16.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,-16.0,C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=C(C=C3)F,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)cc2)cc1
5810,CHEMBL1084364,FWCCJDYYJWWQOS-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,-4.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,-4.0,C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CC=CC=C3,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccc2)nc1
6229,CHEMBL3262172,GGWDKUQZZHJDPZ-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,=,7.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,7.0,C1CN(C(CN1)COC2=CN=CC=C2)C(=O)NC3=C(C=C(C=C3)Br)F.Cl,O=C(Nc1ccc(Br)cc1F)N1CCNCC1COc1cccnc1
6634,CHEMBL2087446,GQCWFDPOTSZPCD-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-9.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-9.0,CC1=C(NN=C1NC(=O)CCCCN2CCCCC2)C3=CC=C(C=C3)OC,COc1ccc(-c2[nH]nc(NC(=O)CCCCN3CCCCC3)c2C)cc1
7013,CHEMBL3262162,GYVJDAOHVCIKJN-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,=,14.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,14.0,COC1=CC=C(C=C1)NC(=O)N2CCNCC2COC3=CN=CC=C3.Cl,COc1ccc(NC(=O)N2CCNCC2COc2cccnc2)cc1
7080,CHEMBL1945843,HBDLBTSITBUDIR-GOSISDBHSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22107017.0,IC50,>,30000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9,"Optimization of 5-pyridazin-3-one phenoxypropylamines as potent, selective histamine H3 receptor antagonists with potent cognition enhancing activity.",J. Med. Chem.,PUBLICATION,,4.522878745280337,C[C@@H]1CCCN1CCCOC2=CC=C(C=C2)C3=CC(=O)N(N=C3)C4=CC=CC=N4,C[C@@H]1CCCN1CCCOc1ccc(-c2cnn(-c3ccccn3)c(=O)c2)cc1
7134,CHEMBL1084365,HCBWAWNFHVHMOV-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,6.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,6.0,COC1=CC=CC=C1C2=NC=C(C=C2)NC(=O)NCCCCN3CCCCC3,COc1ccccc1-c1ccc(NC(=O)NCCCCN2CCCCC2)cn1
7170,CHEMBL72,HCYAFALTSJYZDH-UHFFFAOYSA-N,DESIPRAMINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CNCCCN1c2ccccc2CCc2ccccc21
7171,CHEMBL72,HCYAFALTSJYZDH-UHFFFAOYSA-N,DESIPRAMINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CNCCCN1c2ccccc2CCc2ccccc21
7172,CHEMBL72,HCYAFALTSJYZDH-UHFFFAOYSA-N,DESIPRAMINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CNCCCN1c2ccccc2CCc2ccccc21
7338,CHEMBL2024089,HGSHFGWWOPXUPH-WHOFXGATSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22171543.0,INHIBITION,<=,25.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 up to 10 uM,Chemistry and behavioral studies identify chiral cyclopropanes as selective a4ß2-nicotinic acetylcholine receptor partial agonists exhibiting an antidepressant profile.,J. Med. Chem.,PUBLICATION,,25.0,CNC(=O)OCC[C@H]1C[C@@H]1C2=CC(=CN=C2)OC[C@@H]3CCN3,CNC(=O)OCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CCN2)c1
7383,CHEMBL2204357,HHVBUSGGPUQAOP-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21486038.0,IC50,=,40000.0,NM,,,,,,,,,,,,,,,Inhibition of human recombinant CYP2C9 using dibenzylfluorescein after 45 mins by fluorescence spectrophotometric analysis,"Discovery of 1-[2-(2,4-Dimethylphenylsulfanyl)phenyl]piperazine (Lu AA21004): A Novel Multimodal Compound for the Treatment of Major Depressive Disorder.",J. Med. Chem.,PUBLICATION,,4.3979400086720375,CC1=C(C(=CC=C1)SC2=CC=CC=C2N3CCNCC3)C.Cl,Cc1cccc(Sc2ccccc2N2CCNCC2)c1C
7689,CHEMBL288591,HOMWNUXPSJQSSU-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CN1CCN(CC1)C2=NC3=CC=CC=C3C=C2,CN1CCN(c2ccc3ccccc3n2)CC1
7889,CHEMBL1086333,HSWHSJUFDDMBTI-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,-2.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,-2.0,COC1=CC=CC=C1C2=CC=C(C=C2)NC(=O)NCCCCN3CCCCC3,COc1ccccc1-c1ccc(NC(=O)NCCCCN2CCCCC2)cc1
7927,CHEMBL1939222,HTSQRRQNKJNSLH-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22191331.0,IC50,>,50000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9,ADME-guided design and synthesis of aryloxanyl pyrazolone derivatives to block mutant superoxide dismutase 1 (SOD1) cytotoxicity and protein aggregation: potential application for the treatment of amyotrophic lateral sclerosis.,J. Med. Chem.,PUBLICATION,,4.301029995663981,C1=C(C=C(C=C1Cl)Cl)OCC2=CC(=O)NN2,O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1
8731,CHEMBL1949930,IKXSPLZKOZXPFB-RQBPZYBGSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22226656.0,IC50,>,30000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP 2C9,"Discovery of 7-arylsulfonyl-1,2,3,4, 4a,9a-hexahydro-benzo[4,5]furo[2,3-c]pyridines: identification of a potent and selective 5-HT6 receptor antagonist showing activity in rat social recognition test.",Bioorg. Med. Chem. Lett.,PUBLICATION,,4.522878745280337,CC(C)OC1=CC(=CC(=C1)OC)S(=O)(=O)C2=CC3=C(C=C2)[C@@H]4CCNC[C@@H]4O3.Cl,COc1cc(OC(C)C)cc(S(=O)(=O)c2ccc3c(c2)O[C@H]2CNCC[C@@H]32)c1
9424,CHEMBL3261479,IYUQYZMILCFRJI-MRXNPFEDSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24755431.0,IC50,>,50000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin),The discovery of diazepinone-based 5-HT3 receptor partial agonists.,Bioorg. Med. Chem. Lett.,PUBLICATION,,4.301029995663981,C1CN2CCC1[C@@H](C2)N3CCN4C=CC5=C4C(=CC=C5)C3=O,O=C1c2cccc3ccn(c23)CCN1[C@@H]1CN2CCC1CC2
9553,CHEMBL3261483,JBVRKZZSTULWTO-OAHLLOKOSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24755431.0,IC50,>,50000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin),The discovery of diazepinone-based 5-HT3 receptor partial agonists.,Bioorg. Med. Chem. Lett.,PUBLICATION,,4.301029995663981,C1CN2CCC1[C@@H](C2)N3CCN4C5=C(C=C(C=C5C3=O)Cl)C=N4,O=C1c2cc(Cl)cc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2
9872,CHEMBL2086585,JJJIVUQWUUXQLP-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,12.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,12.0,CC(=O)N1CCCN(CC1)CCCCC(=O)NC2=NC=C(N2)C3=CC=C(C=C3)OC,COc1ccc(-c2cnc(NC(=O)CCCCN3CCCN(C(C)=O)CC3)[nH]2)cc1
10091,CHEMBL2204360,JOJYHYRCIYAVHN-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21486038.0,IC50,=,39000.0,NM,,,,,,,,,,,,,,,Inhibition of human recombinant CYP2C9 using dibenzylfluorescein after 45 mins by fluorescence spectrophotometric analysis,"Discovery of 1-[2-(2,4-Dimethylphenylsulfanyl)phenyl]piperazine (Lu AA21004): A Novel Multimodal Compound for the Treatment of Major Depressive Disorder.",J. Med. Chem.,PUBLICATION,,4.4089353929735005,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C.Cl,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
10279,CHEMBL1110,JSWZEAMFRNKZNL-UHFFFAOYSA-N,ALOSETRON,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21146988.0,IC50,<,10000.0,NM,,,,,,,,,,,,,,,Inhibition of human CYP2C9,Novel serotonin type 3 receptor partial agonists for the potential treatment of irritable bowel syndrome.,Bioorg. Med. Chem. Lett.,PUBLICATION,,5.0,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
10280,CHEMBL1110,JSWZEAMFRNKZNL-UHFFFAOYSA-N,ALOSETRON,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
10281,CHEMBL1110,JSWZEAMFRNKZNL-UHFFFAOYSA-N,ALOSETRON,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
10318,CHEMBL2204356,JTQUHGRGBNXQDN-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21486038.0,IC50,=,40000.0,NM,,,,,,,,,,,,,,,Inhibition of human recombinant CYP2C9 using dibenzylfluorescein after 45 mins by fluorescence spectrophotometric analysis,"Discovery of 1-[2-(2,4-Dimethylphenylsulfanyl)phenyl]piperazine (Lu AA21004): A Novel Multimodal Compound for the Treatment of Major Depressive Disorder.",J. Med. Chem.,PUBLICATION,,4.3979400086720375,C1CN(CCN1)C2=CC=CC=C2SC3=C(C(=CC=C3)Cl)Cl.Cl,Clc1cccc(Sc2ccccc2N2CCNCC2)c1Cl
10570,CHEMBL500,JZQKKSLKJUAGIC-UHFFFAOYSA-N,PINDOLOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,CC(C)NCC(O)COc1cccc2[nH]ccc12
10571,CHEMBL500,JZQKKSLKJUAGIC-UHFFFAOYSA-N,PINDOLOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,CC(C)NCC(O)COc1cccc2[nH]ccc12
10762,CHEMBL2086584,KELGFUJORMNBDM-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,2.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,2.0,CC(CCCN1CCCN(CC1)C(=O)C)C(=O)NC2=NNC(=C2)C3=CC=C(C=C3)OC,COc1ccc(-c2cc(NC(=O)C(C)CCCN3CCCN(C(C)=O)CC3)n[nH]2)cc1
11013,CHEMBL479,KLBQZWRITKRQQV-UHFFFAOYSA-N,THIORIDAZINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
11014,CHEMBL479,KLBQZWRITKRQQV-UHFFFAOYSA-N,THIORIDAZINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
11246,CHEMBL128,KQKPFRSPSRPDEB-UHFFFAOYSA-N,SUMATRIPTAN,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
11247,CHEMBL128,KQKPFRSPSRPDEB-UHFFFAOYSA-N,SUMATRIPTAN,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
11467,CHEMBL509540,KUZRWWLVBUPCRK-UHFFFAOYSA-N,A-940894,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,18817367.0,ACTIVITY,,,,Not Active,,,,,,,,,,,,,,Inhibition of CYP2C9 upto 10 uM,"Rotationally constrained 2,4-diamino-5,6-disubstituted pyrimidines: a new class of histamine H4 receptor antagonists with improved druglikeness and in vivo efficacy in pain and inflammation models.",J. Med. Chem.,PUBLICATION,,,C1CC2=CC=CC=C2C3=C(C1)C(=NC(=N3)N)N4CCNCC4,Nc1nc2c(c(N3CCNCC3)n1)CCCc1ccccc1-2
11492,CHEMBL715,KVWDHTXUZHCGIO-UHFFFAOYSA-N,OLANZAPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21467212.0,INHIBITION,<,10.0,%,,,,,,,,,,,,,,,Time dependent inhibition of CYP2C9 (unknown origin) at 100 uM by LC/MS system,Combination of GSH trapping and time-dependent inhibition assays as a predictive method of drugs generating highly reactive metabolites.,Drug Metab. Dispos.,PUBLICATION,,10.0,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
