,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,base_rdkit_smiles
22137,VTNHOKYMZDRTPA-UHFFFAOYNA-N,CHEMBL1511350,1559,A,5.45,chembl20,737826,9606,CYP2C9,un28,S1C2=C(OC3=CC=C(OC)C=C3)N=C(SC)N=C2C=C1,COc1ccc(Oc2nc(SC)nc3ccsc23)cc1
22149,VQQVWGVXDIPORV-UHFFFAOYNA-N,CHEMBL306946,1559,N,4.52,chembl20,952094,9606,CYP2C9,un28,C1=CC2=C(C=C1)N=C3N(C=4C(C3=O)=CC=CC4)C2=O,O=C1c2ccccc2-n2c1nc1ccccc1c2=O
22153,VRESTROMRYKCCC-UHFFFAOYNA-N,CHEMBL1383537,1559,A,5.45,chembl20,737826,9606,CYP2C9,un28,S1C(N2C(SCC2=O)=N)=NC(C3=CC=C(OC)C=C3)=C1,COc1ccc(-c2csc(N3C(=N)SCC3=O)n2)cc1
22169,VRSUDBJGROIBQJ-UHFFFAOYNA-N,CHEMBL1364404,1559,A,5.2,chembl20,688885,9606,CYP2C9,un28,O(C=1C=C2C(N=C3C(=C2)CC4=C3C=CC=C4)=CC1)C,COc1ccc2nc3c(cc2c1)Cc1ccccc1-3
22170,VRSYZZVIYZANOY-LZYBPNLTNA-N,CHEMBL3212689,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,ClC=1C=CC(C2=NN(C=C2/C=N/O)CCC#N)=CC1,N#CCCn1cc(/C=N/O)c(-c2ccc(Cl)cc2)n1
22217,VWUHZZSWHPALHZ-UHFFFAOYNA-N,CHEMBL1315091,1559,N,4.7,chembl20,737826,9606,CYP2C9,un28,S1C(C2=NC3=C(N(C2=O)CCOC)N=CN=C3)=CC=C1,COCCn1c(=O)c(-c2cccs2)nc2cncnc21
22225,VXHDUQXXAHZWMP-WYUMXYHSNA-N,56953769,1559,A,5.5346199999999985,pubchem,656029,9606,CYP2C9,un28,S(CCCCCC)C=1NC=2C(N1)=CC=C(OC)C2,CCCCCCSc1nc2ccc(OC)cc2[nH]1
22226,VXHDUQXXAHZWMP-YAQRNVERNA-N,CHEMBL2018907,1559,A,5.53,chembl20,813101,9606,CYP2C9,un28,N1C2=C(N=C1SCCCCCC)C=C(OC)C=C2,CCCCCCSc1nc2cc(OC)ccc2[nH]1
22257,VRLIJNKTPYPWQI-UHFFFAOYNA-N,CHEMBL1403388,1559,A,7.0,chembl20,737826,9606,CYP2C9,un28,BrC=1C=C(C(=O)C=2C(O)=CC=C(Br)C2)C(O)=CC1,O=C(c1cc(Br)ccc1O)c1cc(Br)ccc1O
22273,UORKIKBNUWJNJF-UHFFFAOYNA-N,180933,1559,A,5.90001,pubchem,883,9606,CYP2C9,un28,O=C1C2=C3C(C=4C(C=C3)=CC=CC4)=CC=C2C(=O)C=C1,O=C1C=CC(=O)c2c1ccc1c2ccc2ccccc21
22298,ULLVAEDJJLRJMU-MWPAXMCQNA-N,CHEMBL3190643,1559,N,4.7,chembl20,737826,9606,CYP2C9,un28,O1C(CC(C1=O)CCCC)/C(=N/NC(=O)N)/C,CCCCC1CC(/C(C)=N/NC(N)=O)OC1=O
22303,ULSLHNFDVQZJFW-UHFFFAOYNA-N,CHEMBL3193293,1559,A,5.2,chembl20,737826,9606,CYP2C9,un28,O(C=1C=C2C(C(=NC(C2)(C)C)CC(OCC)=O)=CC1O)C,CCOC(=O)CC1=NC(C)(C)Cc2cc(OC)c(O)cc21
22341,UPYIQSPMXJQISB-UHFFFAOYNA-N,CHEMBL1345018,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,ClC=1C=C2N(C(=O)C=C(SCC(OCC)=O)C2=CC1)C,CCOC(=O)CSc1cc(=O)n(C)c2cc(Cl)ccc12
22349,UNSTZRRKYYTHBG-UHFFFAOYNA-N,CHEMBL1529327,1559,A,7.0,chembl20,737826,9606,CYP2C9,un28,FC=1C(N2CCN(CC2)C)=CC(N3CCCC3)=C(N(=O)=O)C1,CN1CCN(c2cc(N3CCCC3)c([N+](=O)[O-])cc2F)CC1
22359,UOGTXKFLPZVENC-VPQZEOPVNA-N,CHEMBL1709113,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,O=C(NCCCCCC(O)=O)C=1C=CN=CC1,O=C(O)CCCCCNC(=O)c1ccncc1
22378,UMPGWHXDJJYISZ-UHFFFAOYNA-N,CHEMBL40004,1559,A,6.35,chembl20,737826,9606,CYP2C9,un28,O1C(=NN=C1SCC2=C(Cl)C=CC=C2)C3=CC=NC=C3,Clc1ccccc1CSc1nnc(-c2ccncc2)o1
22384,UKHMZCMKHPHFOT-TYCHLBSENA-N,CHEMBL1484751,1559,N,4.4,chembl20,688885,9606,CYP2C9,un28,O1[C@H](N2C=3N=CN=C(N)C3N=C2)CCC1,Nc1ncnc2c1ncn2[C@@H]1CCCO1
22410,ULUURUUCUDPYGK-CXUHLZMHNA-N,CHEMBL3211761,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,S(C=1N(C(=CN1)/C=N/NC=2C=CC(F)=CC2)C)CC,CCSc1ncc(/C=N/Nc2ccc(F)cc2)n1C
22412,UGLPVHLKYTWQRV-UHFFFAOYNA-N,CHEMBL115876,1559,A,6.89,chembl20,51540,9606,CYP2C9,un28,N1(C=NC=C1)C=2C=CC(=CC2)OCCCC3=NC=CC=C3,c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1
22452,UFZCVNIUMATMLR-UHFFFAOYNA-N,CHEMBL1525169,1559,A,5.45,chembl20,737826,9606,CYP2C9,un28,O(C(=O)C=1C(=CN2C1C=CC=C2)C3=CC=CC=C3)CC,CCOC(=O)c1c(-c2ccccc2)cn2ccccc12
22474,UCHSVLDKKSAWDI-UHFFFAOYNA-N,CHEMBL1490809,1559,N,4.95,chembl20,737826,9606,CYP2C9,un28,S1C(C(=NC(=O)C2=CC(OC)=CC=C2)CC1)C(OC)=O,COC(=O)C1SCCC1=NC(=O)c1cccc(OC)c1
22539,UAJNMFVMJKKEQG-UHFFFAOYNA-N,CHEMBL1357956,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,ClC1=C(CN2C=3N=CN=CC3N=C(C2=O)C)C=CC=C1,Cc1nc2cncnc2n(Cc2ccccc2Cl)c1=O
22601,UAWVRVFHMOSAPU-KGCNKATMNA-N,CHEMBL311389,1559,N,4.5,chembl20,688885,9606,CYP2C9,un28,C=1(N=C2C=C(Cl)C=CC2=C(C1)O)C(=O)O,O=C(O)c1cc(O)c2ccc(Cl)cc2n1
22614,TZBJGXHYKVUXJN-UHFFFAOYNA-N,CHEMBL44,1559,A,6.0,chembl20,688885,9606,CYP2C9,un28,C=1C(O)=CC(O)=C2C(=O)C(=COC12)C3=CC=C(O)C=C3,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
22639,TZTFWWPDVCQSSB-UHFFFAOYNA-N,CHEMBL1586050,1559,N,4.5,chembl20,737826,9606,CYP2C9,un28,S1CCN(C(C(=O)C=2C=3C(NC2)=CC=CC3)C)CC1,CC(C(=O)c1c[nH]c2ccccc12)N1CCSCC1
22650,UACHTGIJCZLZTL-GPQMBLKYNA-N,CHEMBL1454709,1559,N,4.55,chembl20,737826,9606,CYP2C9,un28,SC=1N(C(=NN1)C=2C=CN=CC2)CC3OCCC3,Sc1nnc(-c2ccncc2)n1CC1CCCO1
22673,VBDRRLJOHZGXJR-UHFFFAOYNA-N,CHEMBL1554791,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,S1C(C2=NC3=C(N(C2=O)C)N=C(OC)N=C3)=CC=C1,COc1ncc2nc(-c3cccs3)c(=O)n(C)c2n1
22676,VBKDCCYHJRMCOJ-UHFFFAOYNA-N,CHEMBL1304739,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,S1C(C(=O)C2C3CC[N+](C2)(CC3)CCCC)=CC=C1,CCCC[N+]12CCC(CC1)C(C(=O)c1cccs1)C2
22685,VBXKYNWQDHSKJK-UHFFFAOYNA-N,CHEMBL1606094,1559,A,5.5,chembl20,737826,9606,CYP2C9,un28,N(NC=1C=CC=CC1)(C2=CC=CC=C2)CC3=NC=CN=C3,c1ccc(NN(Cc2cnccn2)c2ccccc2)cc1
22697,UXOVCGAPFNQBEE-HCKMINDGNA-N,CHEMBL1581163,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,SC=1N(C(O)=C(N1)CC(C)C)C2CCCCC2,CC(C)Cc1nc(S)n(C2CCCCC2)c1O
22729,VACZDCVWVZPAKF-UHFFFAOYNA-N,CHEMBL1519083,1559,A,5.5,chembl20,737826,9606,CYP2C9,un28,OC=1N2N=CC(=C2N=C(C1CC3=CC=CC=C3)C)C#N,Cc1nc2c(C#N)cnn2c(O)c1Cc1ccccc1
22742,VARJAHYAMWUYFI-UHFFFAOYNA-N,CHEMBL1404071,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,S(C=1N(C2=CC=CC=C2)C=CN1)CCC3=CC=CC=C3,c1ccc(CCSc2nccn2-c2ccccc2)cc1
22744,VASNCUUCJVLFEQ-UHFFFAOYNA-N,CHEMBL1548218,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(NCCNS(=O)(=O)C=1SC=CC1)C=2SC=CC2,O=S(=O)(NCCNS(=O)(=O)c1cccs1)c1cccs1
22752,UWMUSZARIROXAW-HCKMINDGNA-N,CHEMBL1311981,1559,A,5.45,chembl20,737826,9606,CYP2C9,un28,SC=1N(C(O)=C(N1)C(CC)C)C2CCCCC2,CCC(C)c1nc(S)n(C2CCCCC2)c1O
22787,VMKNDIQDOBATQU-KCQWHRIQNA-O,CHEMBL347303,1559,N,4.72,chembl20,51532,9606,CYP2C9,un28,[N+]=1(NC(C=2C=CC(=CC2)OCCCC)=CC1)C,CCCCOc1ccc(-c2cc[n+](C)[nH]2)cc1
22790,VMNQWTCCPOASJY-UHFFFAOYNA-N,CHEMBL1586705,1559,A,7.2,chembl20,737826,9606,CYP2C9,un28,S(CC=1C=2C(C=CC1)=CC=CC2)CCC3=CC=NC=C3,c1ccc2c(CSCCc3ccncc3)cccc2c1
22791,VMNVKPQSBOBIEL-YAQRNVERNA-N,CHEMBL1473760,1559,A,6.1,chembl20,688885,9606,CYP2C9,un28,N=1C2=C(C(=NC1C=3C=NC=CC3)NC)C=CC=C2,CNc1nc(-c2cccnc2)nc2ccccc12
22795,VMXXQQUNEIDJSC-UHFFFAOYNA-N,CHEMBL499007,1559,N,4.89,chembl20,537844,9606,CYP2C9,un28,C1=CC(C=2C=NC=C(C2)OC)=CC3=C1CC(CC3)=O,COc1cncc(-c2ccc3c(c2)CCC(=O)C3)c1
22796,VMYCVPWLRACKLU-YAQRNVERNA-N,CHEMBL1372696,1559,A,5.05,chembl20,737826,9606,CYP2C9,un28,O(C(=O)C=1C=C(NC(OCCCC)=O)C=CC1)CC,CCCCOC(=O)Nc1cccc(C(=O)OCC)c1
22799,VNDKVRPZDLMDAF-YAQRNVERNA-N,CHEMBL1496722,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,ClC1=CC=C(CSCC(=O)NC=2SC=CN2)C=C1,O=C(CSCc1ccc(Cl)cc1)Nc1nccs1
22839,VLOBVPWHRDRZQF-YHMJCDSINA-N,CHEMBL1382247,1559,A,5.05,chembl20,737826,9606,CYP2C9,un28,S1C(NC(=O)CSC=2N(C=CN2)C)=C(C=C1)C#N,Cn1ccnc1SCC(=O)Nc1sccc1C#N
22858,VKXQYFNWEGROFE-UHFFFAOYNA-N,CHEMBL1558802,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,S1C=2N(C(=O)C(C(=O)N2)CC3=CC=CC=C3)CC1,O=C1N=C2SCCN2C(=O)C1Cc1ccccc1
22874,VPBQAVYHPKINEF-BURDMTCTNA-N,CHEMBL3195378,1559,N,4.55,chembl20,737826,9606,CYP2C9,un28,ClC1=C(N/N=C\C2=CC(=CC=C2)C)C=NN=C1O,Cc1cccc(/C=N\Nc2cnnc(O)c2Cl)c1
22910,SDLVJPBOBLQFEW-UHFFFAOYNA-N,CHEMBL534942,1559,N,4.64,chembl20,379076,9606,CYP2C9,un28,C1CN(CCN1)C(C2=CC=CC=C2)CC3=C(C=CC=C3)Cl,Clc1ccccc1CC(c1ccccc1)N1CCNCC1
22932,SHANOOLFTYPLRN-UHFFFAOYNA-N,CHEMBL1522803,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,O1N=C(N=C1C2CCC(CC2)CCCC)C3=NC=CC=C3,CCCCC1CCC(c2nc(-c3ccccn3)no2)CC1
22937,SHSPPHHPWGHIAE-YHMJCDSINA-N,CHEMBL1434747,1559,A,7.0,chembl20,688885,9606,CYP2C9,un28,O1N=C(C(C=2N=C(NC3CC3)C=CN2)=C1C)C,Cc1noc(C)c1-c1nccc(NC2CC2)n1
22969,SEVICFAAJPXUER-UHFFFAOYNA-N,CHEMBL1489359,1559,A,5.6,chembl20,737826,9606,CYP2C9,un28,ClC1=NC=2N(C(=NC2N=C1Cl)C(F)(F)F)CCCN3CCOCC3,FC(F)(F)c1nc2nc(Cl)c(Cl)nc2n1CCCN1CCOCC1
22993,SGAOVSNBRDXIJV-UHFFFAOYNA-N,CHEMBL1329104,1559,A,5.75,chembl20,737826,9606,CYP2C9,un28,O=C(C=1C=CC=CC1)CN=CCC(=O)C=2C=CC=CC2,O=C(CC=NCC(=O)c1ccccc1)c1ccccc1
23004,SEDLTBLGDABWQS-WYUMXYHSNA-N,CHEMBL1380899,1559,A,5.3,chembl20,737826,9606,CYP2C9,un28,O1C(C(=O)NC2=CN=CC=C2)COC=3C1=CC=CC3,O=C(Nc1cccnc1)C1COc2ccccc2O1
23010,SEHFWORDROOJRK-QXMHVHEDNA-N,CHEMBL3211668,1559,N,4.95,chembl20,737826,9606,CYP2C9,un28,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)CC)CC=C,C=CCN1/C(=N/C(=O)CC)SC2C=S(O)(O)=CC21
23018,SEPBORGDHRCCDG-YENFCIRVNA-N,CHEMBL2018914,1559,N,4.3,chembl20,813101,9606,CYP2C9,un28,N1C2=C(N=C1SCCCC(=O)O)C=C(OC)C=C2,COc1ccc2[nH]c(SCCCC(=O)O)nc2c1
23065,UROFLSCZXCYRQT-HCKMINDGNA-N,CHEMBL1502796,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,O1C(CNC(=O)C=2C=CC(OCCCC)=CC2)=CC=C1,CCCCOc1ccc(C(=O)NCc2ccco2)cc1
23117,UVAOBHSWJTXPCD-UHFFFAOYNA-N,CHEMBL1427154,1559,A,6.1,chembl20,737826,9606,CYP2C9,un28,ClC=1C(OCCOC=2C(OC)=CC(=CC2)C)=CC(=CC1)C,COc1cc(C)ccc1OCCOc1cc(C)ccc1Cl
23129,UOLJKAPABHXFRE-UHFFFAOYNA-N,CHEMBL16410,1559,N,4.4,chembl20,688885,9606,CYP2C9,un28,C1=2C(CC(C1)N(CCC)CCC)=CC(=C(C2)OC)OC,CCCN(CCC)C1Cc2cc(OC)c(OC)cc2C1
23133,TWWWOTQGWWUONC-GPQMBLKYNA-N,CHEMBL1490045,1559,A,5.2,chembl20,737826,9606,CYP2C9,un28,SC=1N(NCC=2C=C(OCC=C)C=CC2)C=NN1,C=CCOc1cccc(CNn2cnnc2S)c1
23139,XIXWLMBUSDWEFD-HCKMINDGNA-N,CHEMBL1742209,1559,A,6.0,chembl20,737826,9606,CYP2C9,un28,O=C(NCC1=CN=CC=C1)CCC2=CC=CC=C2,O=C(CCc1ccccc1)NCc1cccnc1
23182,XDNYLYIJGAIABX-WYUMXYHSNA-N,CHEMBL1537646,1559,N,4.95,chembl20,737826,9606,CYP2C9,un28,O1C=2C(C=3N(N=CC3C1)CC(O)=O)=CC(=CC2)C,Cc1ccc2c(c1)-c1c(cnn1CC(=O)O)CO2
23194,XFCYCIGWBVRVNP-YOPAIFQJNA-N,CHEMBL1508044,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,S=C(NC1=NC=2C(N=C1O)=CC=C(C2)C)N,Cc1ccc2nc(O)c(NC(N)=S)nc2c1
23199,XFGHRPOEPNBKEM-UHFFFAOYNA-N,CHEMBL106780,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,C1(=C(N=C2N1C=CC=C2)C=3C=CC=CC3)C(=O)OCC,CCOC(=O)c1c(-c2ccccc2)nc2ccccn12
23227,XGYASMQMXLNSNV-VPQZEOPVNA-N,CHEMBL1470247,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,S1C(NC(=O)C)=C(C2=C1CCCC2)C(=O)NCC,CCNC(=O)c1c(NC(C)=O)sc2c1CCCC2
23241,XHLVCNKHMYDQAN-UHFFFAOYNA-N,CHEMBL1416225,1559,A,6.6,chembl20,737826,9606,CYP2C9,un28,ClC1=C(N2CCN(S(=O)(=O)C)CC2)C(N(=O)=O)=CC=C1,CS(=O)(=O)N1CCN(c2c(Cl)cccc2[N+](=O)[O-])CC1
23255,XLAHUVMRXXMPOW-HCKMINDGNA-N,13957609,1559,A,5.15677,pubchem,656029,9606,CYP2C9,un28,S(C=1NC2=C(N1)C=CC(N)=C2)CC3=NC=CC=C3,Nc1ccc2nc(SCc3ccccn3)[nH]c2c1
23256,XLAHUVMRXXMPOW-WYUMXYHSNA-N,CHEMBL2019026,1559,A,5.16,chembl20,813101,9606,CYP2C9,un28,N1C=2C(N=C1SCC=3N=CC=CC3)=CC(=CC2)N,Nc1ccc2[nH]c(SCc3ccccn3)nc2c1
23293,XEXQEMFMAYLGIT-CUNFQGHENA-N,CHEMBL1733680,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,O=C(NC=1C=C2NC(=NC2=CC1)C3CCCCC3)C,CC(=O)Nc1ccc2nc(C3CCCCC3)[nH]c2c1
23315,WDBQCTHOCRGRPH-UHFFFAOYNA-N,CHEMBL1568026,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,S1C2=C(N=CN=C2N(CC)CC)C=3C1=NC(=CC3C)C,CCN(CC)c1ncnc2c1sc1nc(C)cc(C)c12
23332,WGNGIELOOKACSB-UHFFFAOYNA-N,CHEMBL148296,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,N1C2=C(C=C(N=C2)C(=O)OCCCC)C=3C1=CC=CC3,CCCCOC(=O)c1cc2c(cn1)[nH]c1ccccc12
23353,WEDGSLIEZXGZBN-UHFFFAOYNA-N,CHEMBL1355708,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(N1CCC2(CN(C2)C=3C=CN=CC3)CC1)C,CS(=O)(=O)N1CCC2(CC1)CN(c1ccncc1)C2
23368,WCLHLAGQAHIMDR-UHFFFAOYNA-N,CHEMBL1382877,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,ClC=1C(CN2C=3C(CCCC2=O)=CC=CC3)=CC=CC1,O=C1CCCc2ccccc2N1Cc1ccccc1Cl
23371,WCSMJWRZGSNRKR-YHMJCDSINA-N,CHEMBL1538191,1559,A,6.9,chembl20,737826,9606,CYP2C9,un28,P(OCC)(OCC)(=O)CN(CCNP(OCC)(OCC)=O)CC,CCOP(=O)(CN(CC)CCNP(=O)(OCC)OCC)OCC
23391,VYYBGLNCXKXGQF-UHFFFAOYNA-N,CHEMBL1558934,1559,A,5.45,chembl20,737826,9606,CYP2C9,un28,ClC=1C=C2N=C(SC2=CC1)SCC=3OC(=CC3)C(OC)=O,COC(=O)c1ccc(CSc2nc3cc(Cl)ccc3s2)o1
23403,WBCVNVHMWHVHQN-VPQZEOPVNA-N,CHEMBL1568465,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,S=C(NC(=O)C=1OC=CC1)NC2=NC=CC(=C2)C,Cc1ccnc(NC(=S)NC(=O)c2ccco2)c1
23410,WBOILOFIBGGYFC-MVTUOISNNA-N,CHEMBL1542169,1559,A,5.35,chembl20,737826,9606,CYP2C9,un28,S1/C(/C(=O)N(C1=S)CC)=C\C=C/2\SCCN2C,CCN1C(=O)/C(=C/C=C2/SCCN2C)SC1=S
23416,WFIYTRDEFJNNRK-YAQRNVERNA-N,CHEMBL1578122,1559,N,4.7,chembl20,737826,9606,CYP2C9,un28,ClC1=CC=C(SCC(=O)NC=2SC(=CN2)C)C=C1,Cc1cnc(NC(=O)CSc2ccc(Cl)cc2)s1
23427,WAIWXNYKRBBVSH-HVXXBKQBNA-N,CHEMBL453169,1559,N,4.31,chembl20,510162,9606,CYP2C9,un28,C=1C=C2C=C(C3=C(C=CN=C3)N)C=CC2=CC1OC,COc1ccc2cc(-c3cnccc3N)ccc2c1
23436,WARZERDBFRTWKA-CMDGGOBGNA-N,CHEMBL1563513,1559,A,5.35,chembl20,737826,9606,CYP2C9,un28,O1C(NCC=C)=C(N=C1/C=C/C2=CC=CC=C2)C#N,C=CCNc1oc(/C=C/c2ccccc2)nc1C#N
23494,XRGWZIGGCNSFRY-UHFFFAOYNA-N,CHEMBL1322285,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,O1C2=C(C(=O)C(=C1C)C3=CC=CC=C3)C=CC(OC)=C2,COc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1
23507,XSBHLWCNFQDDTO-GPQMBLKYNA-N,CHEMBL1486831,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,FC=1C=C2N=C3C(=NC4=C3C=CC=C4)NC2=CC1,Fc1ccc2[nH]c3nc4ccccc4c-3nc2c1
23512,XSHQZXICVYFWJV-VIZOYTHANA-N,CHEMBL3192681,1559,A,5.3,chembl20,737826,9606,CYP2C9,un28,ClC1=CC=C(N/N=C/C2C(OC(=CC2=O)C)=O)C=C1,CC1=CC(=O)C(/C=N/Nc2ccc(Cl)cc2)C(=O)O1
23532,XQQSFWKOCNZPPF-HCKMINDGNA-N,CHEMBL1486496,1559,A,5.2,chembl20,737826,9606,CYP2C9,un28,FC(F)(F)C=1N=C(O)N=C(C1)C2=CC=CC=C2,Oc1nc(-c2ccccc2)cc(C(F)(F)F)n1
23608,XZQXROBNFFPLTP-HPSSSYMENA-N,CHEMBL1332803,1559,A,5.3,chembl20,688885,9606,CYP2C9,un28,ClC=1C(S(=O)(=O)N)=CC=2S(=O)(O)=NC=NC2C1C,Cc1c(Cl)c(S(N)(=O)=O)cc2c1N=CN=S2(=O)O
23614,YALMAOZXWDQBIS-DHDCSXOGNA-N,CHEMBL3191841,1559,A,5.35,chembl20,737826,9606,CYP2C9,un28,S(C1=NC(/C(=N\NC=2C=CC=CC2)/C)=CN=N1)C,CSc1nncc(/C(C)=N\Nc2ccccc2)n1
23640,YEZNLOUZAIOMLT-HCKMINDGNA-N,CHEMBL121626,1559,A,5.5,chembl20,737826,9606,CYP2C9,un28,C1(NC=2C(C(O)=O)=CC=CC2)=C(C(=CC=C1)Cl)C,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
23648,YFILBTXVPJBVBG-UHFFFAOYNA-N,CHEMBL1480063,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,O=C1N(C(=O)C2=C1N=CC=C2)C3=CC=C(OCC)C=C3,CCOc1ccc(N2C(=O)c3cccnc3C2=O)cc1
23685,VXMYWVMXSWJFCV-WYUMXYHSNA-N,CHEMBL12831,1559,N,4.5,chembl20,737826,9606,CYP2C9,un28,N=1NC(=O)CCC1C2=CC=C(N3C=NC=C3)C=C2,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1
23688,VXNYDOWOXFFSOQ-UHFFFAOYNA-N,CHEMBL1319243,1559,N,4.7,chembl20,737826,9606,CYP2C9,un28,S(C=1C(=CC=C(SCC(OC)=O)C1)C#N)CC(OC)=O,COC(=O)CSc1ccc(C#N)c(SCC(=O)OC)c1
23705,WOBDITFXXDFSMS-UHFFFAOYNA-N,CHEMBL1465287,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,S(C=1OC(=NN1)C2=CC(=CC=C2)C)CC3=CC=CC=C3,Cc1cccc(-c2nnc(SCc3ccccc3)o2)c1
23722,LANJUGQIVXWXNW-WYUMXYHSNA-N,CHEMBL1611075,1559,A,5.15,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(N1CC(C(=O)NCCN2CCOCC2)CCC1)CCC,CCCS(=O)(=O)N1CCCC(C(=O)NCCN2CCOCC2)C1
23723,WLPFDUIJZSEKAF-UHFFFAOYNA-N,CHEMBL1605992,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,O1C(OCCCC)(C2=C(C1=O)C=CC=C2)C3=CC=CC=C3,CCCCOC1(c2ccccc2)OC(=O)c2ccccc21
23732,WMKGGPCROCCUDY-PHEQNACWNA-N,CHEMBL17201,1559,N,4.17,chembl20,497351,9606,CYP2C9,un28,C=1C=C(C=CC1)/C=C/C(/C=C/C2=CC=CC=C2)=O,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1
23748,WKSAUQYGYAYLPV-KHCWMJRFNA-N,CHEMBL36,1559,N,4.29,chembl20,51556,9606,CYP2C9,un28,N1=C(N=C(C(=C1N)C2=CC=C(C=C2)Cl)CC)N,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
23769,WIUTZMQRXHUOSJ-UHFFFAOYNA-N,CHEMBL446083,1559,N,3.9,chembl20,537844,9606,CYP2C9,un28,C=1C=C(C2=CN=CC=C2)C=C3C1N(C(CC3)=O)C,CN1C(=O)CCc2cc(-c3cccnc3)ccc21
23801,WHQCHUCQKNIQEC-UHFFFAOYNA-N,2333,1559,A,8.10237,pubchem,883,9606,CYP2C9,un28,BrC1=CC(C(=O)C=2C=3C(OC2CC)=CC=CC3)=CC(Br)=C1O,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
23805,WEMXVIQAAMOYIE-UHFFFAOYNA-N,CHEMBL1313459,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,FC=1C=C(NC(CCC2=CC=C(OC)C=C2)C)C=CC1,COc1ccc(CCC(C)Nc2cccc(F)c2)cc1
23822,WTPYILMMUBBMIT-KJQBJTEXNA-N,CHEMBL1720716,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,OC(=O)C=1C=CC(NC(=O)CCCC#CC)=CC1,CC#CCCCC(=O)Nc1ccc(C(=O)O)cc1
23831,WUADCCWRTIWANL-UHFFFAOYNA-N,CHEMBL131921,1559,A,7.6,chembl20,688885,9606,CYP2C9,un28,C=1OC2=CC(O)=CC(=C2C(C1C=3C=CC(OC)=CC3)=O)O,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
23832,WUBDEBMJRSRELF-MKMNVTDBNA-N,CHEMBL3197786,1559,A,5.65,chembl20,737826,9606,CYP2C9,un28,ClC=1C(/N=C/C=2SC(N(=O)=O)=CC2)=CC=C(Cl)C1,O=[N+]([O-])c1ccc(/C=N/c2ccc(Cl)cc2Cl)s1
23878,WPSYTTKBGAZSCX-UHFFFAOYNA-N,CHEMBL598270,1559,N,4.8,chembl20,688885,9606,CYP2C9,un28,[N+](CCCCC1=CC=C(C=C1)Cl)(CCCCCCC)(CC)CC,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1
23882,WPZGPTBFWCPEAW-CXUHLZMHNA-N,CHEMBL3211204,1559,A,5.3,chembl20,737826,9606,CYP2C9,un28,N1(C(/C=N/N2C=NN=C2)=CC=C1)C3=CC=CC=C3,C(=N/n1cnnc1)\c1cccn1-c1ccccc1
23942,WAEIMOCPASQBSR-UHFFFAOYNA-N,CHEMBL1591209,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,ClC1=C2C(C=C(S(=O)(=O)NCCCCCCN)C=C2)=CC=C1,NCCCCCCNS(=O)(=O)c1ccc2c(Cl)cccc2c1
